"live.dead","cover.burn","site","mean.dist","density"
"Live","High","FH 106",11.55,0.749611139221529
"Live","High","FH200",34.6,0.083531023422099
"Live","High","FH201",101,0.00980296049406921
"Live","High","FH202",43,0.0540832882639264
"Live","High","FH217",101,0.00980296049406921
"Live","High","FH39",101,0.00980296049406921
"Live","High","FH40",101,0.00980296049406921
"Live","High","FH408",101,0.00980296049406921
"Live","High","FH409",101,0.00980296049406921
"Live","High","FH41",10.1,0.980296049406921
"Live","High","FH411",35.4666666666667,0.0794985584261405
"Live","High","FH42",101,0.00980296049406921
"Live","Low","FL206",13.75,0.528925619834711
"Live","Low","FL207",55.7666666666667,0.0321551564902147
"Live","Low","FL208",3.925,6.49113554302406
"Live","Low","FL210",89.75,0.012414552959707
"Live","Low","FL215",6.4,2.44140625
"Live","Low","FL219",46.8,0.0456570969391482
"Live","Low","FL412",7.525,1.76598492290372
"Live","Low","FL417R",8.1,1.52415790275873
"Live","Low","FL423",6.625,2.27839088643645
"Live","Low","FL43",7.4,1.82615047479912
"Live","Low","FL44",26.5666666666667,0.141685649919948
"Live","Low","FL45  ",5.675,3.10504764307477
"Live","Low","FL46",33.4,0.0896410771271828
"Live","Moderate","FM110",18.85,0.281434471501242
"Live","Moderate","FM203",51.6,0.0375578390721711
"Live","Moderate","FM204",101,0.00980296049406921
"Live","Moderate","FM205",26.2,0.145679156226327
"Live","Moderate","FM216",12.7,0.62000124000248
"Live","Moderate","FM413",7.475,1.78968915336518
"Live","Moderate","FM414",13,0.591715976331361
"Live","Moderate","FM418",101,0.00980296049406921
"Live","Moderate","FM419",17.4,0.330294622803541
"Live","Moderate","FM61",44.8,0.0498246173469388
"Live","Moderate","FM62",55.7,0.0322321748015304
"Live","Moderate","FM63",68.75,0.0211570247933884
"Live","Moderate","FM64",23.85,0.175801765928739
"Live","Moderate","FM65",101,0.00980296049406921
"Live","Moderate","FM66",101,0.00980296049406921
"Live","Unburned","F105",12.45,0.645150884663151
"Live","Unburned","F300",2.15,21.6333153055706
"Live","Unburned","F301",2.9,11.8906064209275
"Live","Unburned","F302",1.96666666666667,25.8546394714163
"Live","Unburned","F303",5.075,3.88264699458856
"Live","Unburned","F31",3.23333333333333,9.56530980975662
"Live","Unburned","F32",2.525,15.6847367905107
"Live","Unburned","F33",7.86666666666667,1.61591496696352
"Live","Unburned","F34",2.675,13.9750196523714
"Live","Unburned","F35",4.05,6.0966316110349
"Live","Unburned","F36",6.55,2.33086649962123
"Live","Unburned","F400",5.5,3.30578512396694
"Live","Unburned","F401",7.825,1.63316967612204
"Live","Unburned","F402",2.8,12.7551020408163
"Live","Unburned","F403",3.23333333333333,9.56530980975662
"Dead","High","FH 106",34.175,0.0856215239668024
"Dead","High","FH200",31.4625,0.101021437222517
"Dead","High","FH201",46.175,0.0469014416037479
"Dead","High","FH202",25.3333333333333,0.155817174515235
"Dead","High","FH217",45.68,0.047923420674087
"Dead","High","FH37",26.725,0.140011778490866
"Dead","High","FH38",38.32,0.068100295936646
"Dead","High","FH39",62.4,0.0256821170282709
"Dead","High","FH40",31.2578947368421,0.102348280652367
"Dead","High","FH408",42.4571428571429,0.0554751480393951
"Dead","High","FH409",43.1333333333333,0.0537494416030233
"Dead","High","FH410",16.1555555555556,0.383138862768174
"Dead","High","FH411",32.52,0.0945581411533672
"Dead","High","FH42",61.45,0.0264823319811896
"Dead","Low","FL206",16.6,0.362897372623022
"Dead","Low","FL207",70,0.0204081632653061
"Dead","Low","FL209",14.7833333333333,0.457567596079663
"Dead","Low","FL210",101,0.00980296049406921
"Dead","Low","FL219",22,0.206611570247934
"Dead","Low","FL422",5.55,3.24648973297622
"Dead","Low","FL44",24.4,0.167965600644988
"Dead","Low","FL46",37.5,0.0711111111111111
