date,site,plot,species,percentage.cover
 5/25/16,F105,C,RHTR,10
 5/25/16,F105,C,GUSA,1
 5/25/16,F105,N,RHTR,1
 5/25/16,F105,N,TORA,30
 5/25/16,F105,E,RHTR,10
 5/25/16,F105,E,TORA,1
 5/25/16,F105,E,PRAM,1
 5/25/16,F105,S,RHTR,20
 5/25/16,F105,S,TORA,1
 5/25/16,F105,W,RHTR,10
 5/25/16,F105,W,PP,1
 5/25/16,F105,W,GUSA,1
 5/25/16,F105,W,TORA,10
 5/25/16,F300,C,PRVI,10
 5/25/16,F300,C,MARE,10
 5/25/16,F300,C,RHTR,10
 5/25/16,F300,N,PRVI,70
 5/25/16,F300,N,MARE,1
 5/25/16,F300,N,SYOC,1
 5/25/16,F300,N,ROWO,1
 5/25/16,F300,N,RHTR,1
 5/25/16,F300,N,PP,1
 5/25/16,F300,E,RHTR,10
 5/25/16,F300,E,MARE,1
 5/25/16,F300,E,PP,1
 5/25/16,F300,E,PRVI,1
 5/25/16,F300,S,RHTR,5
 5/25/16,F300,S,PP,1
 5/25/16,F300,W,RHTR,1
 5/25/16,F300,W,PRVI,15
 5/25/16,F300,W,PP,1
 5/25/16,F300,W,MARE,20
 5/25/16,F301,N,SYOC,20
 5/25/16,F301,N,PRVI,30
 5/25/16,F301,N,MARE,5
 5/25/16,F301,N,PRAM,1
 5/25/16,F301,N,RHTR,1
 5/25/16,F301,N,PP,1
 5/25/16,F301,N,ROWO,5
 5/25/16,F301,E,SYOC,10
 5/25/16,F301,E,PRVI,5
 5/25/16,F301,E,MARE,5
 5/25/16,F301,E,RIAU,1
 5/25/16,F301,E,PP,1
 5/25/16,F301,S,PP,1
 5/25/16,F301,S,RHTR,5
 5/25/16,F301,S,PRVI,1
 5/25/16,F301,W,TORA,10
 5/25/16,F301,W,RHTR,15
 5/25/16,F301,W,PP,1
 5/25/16,F301,W,SYOC,1
 5/25/16,F301,W,PRAM,1
 5/25/16,F301,W,PRVI,1
 5/25/16,F301,C,SYOC,10
 5/25/16,F301,C,PP,1
 5/25/16,F301,C,RIOX,1
 5/25/16,F301,C,PRVI,1
 5/25/16,F301,C,MARE,1
 5/25/16,F301,C,PRAM,1
 6/10/16,F302,C,PP,1
 6/10/16,F302,C,TORA,1
 6/10/16,F302,N,TORA,40
 6/10/16,F302,N,RHTR,1
 6/10/16,F302,N,PP,1
 6/10/16,F302,E,PP,10
 6/10/16,F302,E,RHTR,1
 6/10/16,F302,S,TORA,60
 6/10/16,F302,S,JUNI,5
 6/10/16,F302,W,TORA,10
 6/10/16,F302,W,RHTR,10
6/9/2016,F303,C,TORA,90
6/9/2016,F303,C,PP,5
6/9/2016,F303,C,SYOC,1
6/9/2016,F303,C,RHTR,1
6/9/2016,F303,N,TORA,60
6/9/2016,F303,N,PP,20
6/9/2016,F303,N,RHTR,5
6/9/2016,F303,N,SYOC,5
6/9/2016,F303,N,RIOD,1
6/9/2016,F303,W,TORA,40
6/9/2016,F303,W,RIOD,5
6/9/2016,F303,W,PP,1
6/9/2016,F303,W,RHTR,1
6/9/2016,F303,E,PP,30
6/9/2016,F303,E,PRVI,50
6/9/2016,F303,E,SYOC,1
6/9/2016,F303,E,RHTR,5
6/9/2016,F303,S,TORA,60
 6/10/16,F31,C,TORA,40
 6/10/16,F31,C,RHTR,10
 6/10/16,F31,N,TORA,60
 6/10/16,F31,N,RIAM,10
 6/10/16,F31,N,RHTR,10
 6/10/16,F31,N,ROWO,50
 6/10/16,F31,N,PRVI,5
 6/10/16,F31,N,PP,1
 6/10/16,F31,N,PRVI,1
 6/10/16,F31,N,PRAM,1
 6/10/16,F31,E,TORA,40
 6/10/16,F31,W,TORA,10
 6/10/16,F31,W,PP,5
 6/10/16,F31,W,RHTR,5
 6/10/16,F31,S,TORA,5
 6/10/16,F31,S,RHTR,5
 6/10/16,F31,S,PP,1
 5/25/16,F32,C,MARE,2.5
 5/25/16,F32,C,PRAM,2.5
 5/25/16,F32,C,RHTR,2.5
 5/25/16,F32,N,TORA,20
 5/25/16,F32,N,MARE,5
 5/25/16,F32,N,PRVI,1
 5/25/16,F32,E,MARE,5
 5/25/16,F32,E,PRVI,1
 5/25/16,F32,S,RHTR,1
 5/25/16,F32,S,PP,5
 5/25/16,F32,S,PRVI,1
 5/25/16,F32,W,RHTR,1
 5/25/16,F32,W,PP,1
