Plot Number,Fire Type,%LineCover
37,High,7.266666667
38,High,4.433333333
39,High,6.933333333
40,High,7.3
41,High,8.4
42,High,11.1
106,High,10.53333333
200,High,7.2
201,High,3.633333333
202,High,7.366666667
217,High,8.633333333
408,High,29.9
409,High,2.933333333
411,High,7.166666667
410,High,4.333333333
43,Low,6.066666667
44,Low,2.9
45,Low,0
46,Low,0
206,Low,4.233333333
207,Low,6.733333333
208,Low,4.966666667
209,Low,2.166666667
210,Low,1.466666667
215,Low,0
219,Low,1
412,Low,1.666666667
422,Low,3.1
423,Low,0
417R,Low,0.6
61,Moderate,2.9
62,Moderate,3.2
63,Moderate,4.833333333
64,Moderate,1.5
65,Moderate,7.833333333
66,Moderate,10
110,Moderate,3.366666667
203,Moderate,2.833333333
204,Moderate,4.5
205,Moderate,5
216,Moderate,2.4
413,Moderate,4.766666667
414,Moderate,1.933333333
418,Moderate,1.7
419,Moderate,8.3
403,Unburned,0
31,Unburned,0.666666667
32,Unburned,5.233333333
33,Unburned,0
34,Unburned,0.366666667
35,Unburned,0
36,Unburned,0.75
105,Unburned,0
300,Unburned,1.166666667
301,Unburned,2.666666667
302,Unburned,2.666666667
303,Unburned,0.733333333
400,Unburned,0
401,Unburned,0
402,Unburned,0
