ID,Burn,Class,Latitude,Longitude,Changes:
31,Fort Rob,Forest,42.682234,-103.455004,Replaced 31 --SURVEY
31,Fort Rob,Forest,42.683721,-103.456743,Removed--DO NOT SURVEY
32,Fort Rob,Forest,42.690769,-103.471731,Replaced 32 --SURVEY
32,Fort Rob,Forest,42.690663,-103.471687,Removed--DO NOT SURVEY
33,Fort Rob,Forest,42.678454,-103.457897,
34,Fort Rob,Forest,42.687052,-103.46219,
35,Fort Rob,Forest,42.688239,-103.464098,
36,Fort Rob,Forest,42.683896,-103.459411,Replaced 36 --SURVEY
36,Fort Rob,Forest,42.683928,-103.459723,Removed--DO NOT SURVEY
37,Fort Rob,Forest High,42.659455,-103.521533,
38,Fort Rob,Forest High,42.646482,-103.550194,
39,Fort Rob,Forest High,42.665028,-103.532235,
40,Fort Rob,Forest High,42.653886,-103.546056,
41,Fort Rob,Forest High,42.658676,-103.516938,
42,Fort Rob,Forest High,42.648147,-103.547202,
43,Fort Rob,Forest Low,42.644345,-103.547217,
44,Fort Rob,Forest Low,42.663273,-103.526641,
45,Fort Rob,Forest Low,42.652982,-103.539906,
46,Fort Rob,Forest Low,42.665543,-103.525743,
47,Fort Rob,Forest Low,42.654618,-103.515663,Removed--DO NOT SURVEY
48,Fort Rob,Forest Low,42.655582,-103.51835,Removed--DO NOT SURVEY
49,Fort Rob,Grass,42.684274,-103.46561,Removed--DO NOT SURVEY
50,Fort Rob,Grass,42.685174,-103.475599,
51,Fort Rob,Grass,42.677508,-103.474188,51 Replaced --SURVEY
51,Fort Rob,Grass,42.677124,-103.468684,Removed--DO NOT SURVEY
52,Fort Rob,Grass,42.680107,-103.457363,
53,Fort Rob,Grass,42.680522,-103.462316,
54,Fort Rob,Grass,42.683385,-103.452058,
55,Fort Rob,Grass Burn,42.654776,-103.547781,
55,Fort Rob,Grass Burn,42.664338,-103.528982,55 Replaced --SURVEY
56,Fort Rob,Grass Burn,42.664583,-103.528046,Removed--DO NOT SURVEY
57,Fort Rob,Grass Burn,42.6551,-103.554327,
58,Fort Rob,Grass Burn,42.656528,-103.533712,
59,Fort Rob,Grass Burn,42.659181,-103.529519,
60,Fort Rob,Grass Burn,42.657264,-103.508261,Removed--DO NOT SURVEY
61,Fort Rob,Moderate Burn,42.668234,-103.524213,
62,Fort Rob,Moderate Burn,42.661437,-103.529731,
63,Fort Rob,Moderate Burn,42.649503,-103.551258,
64,Fort Rob,Moderate Burn,42.655892,-103.541454,
65,Fort Rob,Moderate Burn,42.647895,-103.544997,
66,Fort Rob,Moderate Burn,42.658383,-103.530227,
105,Fort Rob,Forest,42.688219,-103.472875,
106,Fort Rob,Forest High,42.654491,-103.537463,
107,Fort Rob,Forest Low,42.656028,-103.52238,Removed--DO NOT SURVEY
108,Fort Rob,Grass,42.679661,-103.451079,
109,Fort Rob,Grass Burn,42.663395,-103.535837,
110,Fort Rob,Moderate Burn,42.665,-103.517744,
200,Fort Rob,Forest High,42.644124,-103.545394,
201,Fort Rob,Forest High,42.652913,-103.551927,
202,Fort Rob,Forest High,42.650741,-103.554473,
