date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
6/23/2016,SN,DM17,D,FU,26,0,A,2,20,15,3
6/23/2016,SN,DL16,D,FL,10,0,R,1,10,NA,2
6/23/2016,SN,DL16,D,FL,24,0,R,1,20,NA,2
6/23/2016,SN,DL16,D,FL,30,0,O,1,24,5,5
6/23/2016,SN,DL16,D,FL,30,0,R,1,21,NA,1
6/23/2016,SN,DM18,D,FM,30,0,A,3,30,20,1
6/23/2016,SN,DM18,D,FM,64,0,R,1,50,NA,3
6/24/2016,SN,DM52,D,FM,24,0,R,1,24,NA,3
6/24/2016,SN,DM52,D,FM,55,30,R,1,40,NA,2
6/24/2016,SN,DM52,D,FM,20,50,R,1,14,NA,2
6/24/2016,SN,DH49,D,FH,50,0,A,2,30,8,3
6/24/2016,SN,DH49,D,FH,30,0,R,1,24,NA,3
6/24/2016,SN,DH49,D,FH,90,0,R,1,11,NA,2
6/24/2016,SN,DH49,D,FH,22,0,R,1,20,NA,3
6/24/2016,SN,DH49,D,FH,20,0,R,1,20,NA,2
6/24/2016,SN,DH49,D,FH,11,0,R,1,11,NA,2
6/24/2016,SN,DH49,D,FH,30,0,R,1,17,NA,2
6/24/2016,SN,DH49,D,FH,22,0,R,1,15,NA,2
6/24/2016,SN,DH49,D,FH,22,0,O,1,12,7,4
6/24/2016,SN,DH49,D,FH,15,0,R,1,15,NA,2
6/24/2016,SN,DH49,D,FH,50,0,A,4,50,30,3
6/24/2016,SN,DH49,D,FH,16,0,R,1,14,NA,2
6/24/2016,SN,DH49,D,FH,40,0,R,1,22,NA,3
6/24/2016,SN,DH49,D,FH,16,0,R,1,14,NA,3
6/24/2016,SN,DH49,D,FH,22,0,R,1,14,NA,3
6/24/2016,SN,DH49,D,FH,14,0,R,1,11,NA,3
6/24/2016,SN,DH49,D,FH,15,0,R,1,15,NA,3
6/24/2016,SN,DH49,D,FH,70,0,R,1,21,NA,3
6/24/2016,SN,DH49,D,FH,15,0,A,2,15,7,3
6/20/2016,SN,DU14,D,FU,NA,NA,NA,NA,NA,NA,NA
6/20/2016,SN,DU11,D,FU,NA,NA,NA,NA,NA,NA,NA
6/20/2016,SN,DU8,D,FU,NA,NA,NA,NA,NA,NA,NA
6/21/2016,SN,DU7,D,FU,10,0,R,1,10,NA,2
6/21/2016,SN,DU7,D,FU,16,0,R,1,20,NA,3
6/21/2016,SN,DU7,D,FU,13,0,S,1,13,10,4
6/21/2016,SN,DU3,D,FU,35,0,O,1,35,5,5
6/21/2016,SN,DU3,D,FU,40,0,A,2,23,5,2
6/21/2016,SN,DU3,D,FU,18,0,O,1,18,3,5
6/21/2016,SN,DU3,D,FU,340,0,R,1,35,NA,4
6/21/2016,SN,DU3,D,FU,10,0,O,1,10,1,5
6/21/2016,SN,DU5,D,FU,27,0,R,1,27,NA,3
6/21/2016,SN,DU5,D,FU,14,0,O,1,14,3,5
6/21/2016,SN,DU4,D,FU,23,0,R,1,14,NA,2
6/22/2016,SN,DU1,D,FU,NA,NA,NA,NA,NA,NA,NA
6/22/2016,SN,DU9,D,FU,28,0,S,1,22,5,5
6/22/2016,SN,DU2,D,FU,10,0,R,1,10,NA,4
6/22/2016,SN,DU6,D,FU,NA,NA,NA,NA,NA,NA,NA
6/22/2016,SN,DU15,D,FU,20,50,R,1,20,NA,1
6/22/2016,SN,DU15,D,FU,30,0,R,1,20,NA,2
6/23/2016,SN,DU10,D,FU,43,0,O,1,37,15,4
6/23/2016,SN,DU10,D,FU,34,0,R,1,33,NA,3
6/23/2016,SN,DU13,D,FU,40,0,R,1,20,NA,4
6/23/2016,SN,DU12,D,FU,19,0,R,1,15,NA,3
6/23/2016,SN,DU12,D,FU,130,0,O,1,12,10,5
6/23/2016,SN,DM17,D,FM,22,0,R,1,20,NA,2
6/23/2016,SN,DM17,D,FM,20,25,R,1,15,NA,1
6/23/2016,SN,DM17,D,FM,16,0,R,1,13,NA,2
6/23/2016,SN,DM17,D,FM,13,0,R,1,10,NA,2
7/2/2016,SN,DH54,D,FH,40,0,R,1,20,NA,2
7/2/2016,SN,DH54,D,FH,26,0,R,1,15,NA,3
7/2/2016,SN,DH54,D,FH,22,0,R,1,13,NA,3
7/2/2016,SN,DH54,D,FH,15,0,R,1,15,NA,3
7/2/2016,SN,DH54,D,FH,12,0,R,1,11,NA,3
7/2/2016,SN,DH54,D,FH,40,0,R,1,40,NA,3
7/2/2016,SN,DH54,D,FH,10,0,R,1,10,NA,3
7/2/2016,SN,DH54,D,FH,95,0,R,1,16,NA,2
7/2/2016,SN,DH54,D,FH,23,40,R,1,20,NA,2
7/2/2016,SN,DH54,D,FH,14,0,R,1,13,NA,2
7/2/2016,SN,DH56,D,FH,12,0,R,1,12,NA,2
7/2/2016,SN,DH56,D,FH,19,0,R,1,16,NA,2
7/2/2016,SN,DH56,D,FH,24,0,R,1,24,NA,2
7/2/2016,SN,DH56,D,FH,24,0,R,1,24,NA,2
7/2/2016,SN,DH56,D,FH,11,30,R,1,10,NA,2
7/2/2016,SN,DH56,D,FH,25,0,R,1,25,NA,2
7/2/2016,SN,DH56,D,FH,21,0,R,1,17,NA,2
7/2/2016,SN,DH56,D,FH,30,30,R,1,27,NA,2
7/2/2016,SN,DH56,D,FH,50,0,R,1,30,NA,3
7/2/2016,SN,DH56,D,FH,14,0,R,1,13,NA,2
7/2/2016,SN,DH56,D,FH,25,0,R,1,20,NA,3
7/2/2016,SN,DH56,D,FH,17,0,R,1,17,NA,2
6/24/2016,SN,DL109,D,FL,12,0,R,1,12,NA,2
6/24/2016,SN,DL109,D,FL,42,0,R,1,20,NA,2
6/24/2016,SN,DL109,D,FL,45,0,R,1,25,NA,3
6/24/2016,SN,DL109,D,FL,130,0,R,1,36,NA,2
6/24/2016,SN,DL109,D,FL,55,0,R,1,40,NA,3
7/5/2016,EK,DH29,D,FH,39,0,R,1,28,NA,3
7/5/2016,EK,DM30,D,FM,19,0,R,1,15,NA,3
7/5/2016,EK,DM30,D,FM,14,0,R,1,13,NA,3
7/5/2016,EK,DH55,D,FH,68,0,R,1,68,NA,2
7/5/2016,EK,DH55,D,FH,15,0,R,1,27,NA,3
7/5/2016,EK,DH55,D,FH,11,0,R,1,10,NA,2
7/5/2016,EK,DH55,D,FH,11,0,R,1,10,NA,2
7/5/2016,EK,DH55,D,FH,30,0,R,1,20,NA,3
7/5/2016,EK,DH55,D,FH,20,30,R,1,10,NA,2
7/5/2016,EK,DH55,D,FH,370,0,A,4,37,10,2
7/5/2016,EK,DH55,D,FH,15,45,R,1,14,NA,3
7/5/2016,EK,DH55,D,FH,31,0,R,1,39,NA,3
7/5/2016,EK,DH55,D,FH,25,0,R,1,25,NA,3
7/5/2016,EK,DH55,D,FH,25,0,R,1,20,NA,3
7/5/2016,EK,DH28,D,FH,18,0,R,1,18,NA,3
