plot.code,CoverType,BurnSeverity,YearsSinceFire,burn,CWD_volume_sum,DBH_mean,N_trees,Severity_Num
105,F,U,27,FR,0,18.86,20,1
106,F,H,27,FR,75722,5.2,2,4
108,G,U,27,FR,0,0,0,1
110,F,M,27,FR,9662,3.55,2,3
200,F,H,27,FR,56880,0,0,4
201,F,H,27,FR,15240,0,0,4
202,F,H,27,FR,42256,0,0,4
203,F,M,27,FR,11700,0,0,3
204,F,M,27,FR,8250,0,0,3
205,F,M,27,FR,22380,8.799999999999999,2,3
206,F,L,27,FR,0,17.766666666666666,3,2
207,F,L,27,FR,28483,0,0,2
208,F,L,27,FR,4640,14.651851851851852,27,2
209,F,L,27,FR,0,0,0,2
210,F,L,27,FR,3344,0,0,2
215,F,L,27,FR,0,27.8,9,2
216,F,M,27,FR,1120,12.5,11,3
217,F,H,27,FR,112855,0,0,4
219,F,L,27,FR,1500,0,0,2
300,F,U,27,FR,0,21.939506172839508,81,1
301,F,U,27,FR,0,21.940625,64,1
302,F,U,27,FR,0,12.98,125,1
303,F,U,27,FR,0,13.88,105,1
304,G,U,27,FR,0,0,0,1
305,G,U,27,FR,0,0,0,1
306,G,U,27,FR,0,0,0,1
307,G,U,27,FR,0,0,0,1
31,F,U,27,FR,0,18.518279569892474,93,1
32,F,U,27,FR,23120,18.925225225225226,111,1
33,F,U,27,FR,0,15.703333333333333,60,1
34,F,U,27,FR,0,18.616239316239316,117,1
35,F,U,27,FR,0,18.493150684931507,73,1
36,F,U,27,FR,0,20.7,21,1
37,F,H,27,FR,13957,0,0,4
38,F,H,27,FR,11591,0,0,4
39,F,H,27,FR,7800,0,0,4
40,F,H,27,FR,23672,0,0,4
400,F,U,27,FR,0,16.470642201834863,109,1
401,F,U,27,FR,0,21.41774193548387,62,1
402,F,U,27,FR,0,15.025899280575539,139,1
403,F,M,27,FR,0,0,0,3
404,G,U,27,FR,0,0,0,1
405,G,U,27,FR,0,0,0,1
406,G,U,27,FR,0,0,0,1
407,G,U,27,FR,0,0,0,1
408,F,H,27,FR,6255,0,0,4
409,F,H,27,FR,1918,0,0,4
41,F,H,27,FR,59244,16.016666666666666,12,4
410,F,U,27,FR,0,0,0,1
411,F,H,27,FR,30632,4.725,4,4
412,F,L,27,FR,0,22.373333333333335,15,2
413,F,M,27,FR,24464,15.486956521739131,23,3
414,F,M,27,FR,0,4,2,3
417R,F,L,27,FR,702,11.604761904761904,21,2
418,F,M,27,FR,2160,0,0,3
419,F,M,27,FR,20415,12.833333333333332,6,3
42,F,H,27,FR,448575,0,0,4
422,F,L,27,FR,300,27.76666666666667,3,2
423,F,L,27,FR,0,15.916666666666666,12,2
