year,site,treatment,ACLE,ACMI,AGAU,AGEX,AGGL,AGOX,AGSC,AGST,ALAE,ALGE,ANPA,ANROSE,ANROSU,ANSE,APIX,ARCA,ARDRA,ARFE,ARFR,ARLU,ARTX,BLTR,BOGR,BRAN,BRAX,BRIN,BROX,BRPO,BRYX,CAAQ,CAASC,CACA,CADO,CADU,CAMI,CAOB,CAPA,CAPEL,CAPET,CAPR,CARO,CASC,CASIM,CAST,CAUT,CAWO,CAXX,CAXX1,CAXX2,CEAR,CEBR,CEFO,CHSE,CIMA,CIPA,COSC,CRRU,DAFL,DAPA,DASP,DECA,DRYX,ELAC,ELAL,ELEL,ELPAL,ELTR,ELTRSU,ELTRTR,ELYX,EPCI,EQAR,EQLA,ERCA,ERFL,ERFO,ERSP,FEAR,FEID,FETH,FRVE,FUN,GABO,GAME,GEAM,GETR,GLGR,GLST,GNEX,HEVI,HIOD,HOBR,HYSC,IRMI,JUBA,JULO,JUNX,JUSA,KOMA,LALA,LEMI,LEPX,LEVI,LIC,LOAR,MAGL,MARX,MEAR,MIGL,MOFI,MUMI,MUMO,MURI,MUWR,OEFL,ORLU,OXVI,PASM,PERY,PHAL,PHPR,PLMA,POAM,POAN,POAV,POCO,PODI,PODO,POER,POFE,POHI,PONA,PONE,POOC,POPA,POPE,POPR,POPU,POTX,PRVU,PSMO,RACA,RACY,RAIN,RAMA,RANX,RONA,RORX,ROSI,ROSP,RUAC,SARH,SCPR,SEER,SELX,SICA,SISC,SOSI,SPAN,STCA,STEX,STLO,SYAS,TAOF,THFE,THIN,THMO,TOPA,TRLO,TRPR,TRRE,VECA,VEPE,VERX,VIAD,VIAMA,VIAMM
2002,RS1C1,C,0,18,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,2,0,27,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12,0,0,6,2,0,0,0,0,0,0,0,0,0,4,0,53,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,1,0,9,0,0,0,0,0,0
2002,RS1C2,C,0,24,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,43,0,0,4,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10,1,0,5,0,0,0,0,0,0,4,0,0,0,0,0,22,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,2,0,4,0,0,0,0,0,0
2002,RS2C,C,0,21,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,4,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,7,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,4,0,0,0,0,0,2,4,0,1,7,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,4,1,0,3,0,0,0,0,0,1,4,0,0,0,4,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,1,0,3,0,0,0,0,0,0
2002,RS3C,C,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,1,4,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,1,0,4,11,0,0,0,0,0,1,2,0,0,17,0,0,0,0,0,0,0,0,0,1,0,1,2,0,8,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,RS4C,C,0,12,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,1,0,0,0,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,2,0,0,0,0,0,0
2002,RS5C,C,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,3,1,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,11,0,1,0,0,0,1,2,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,2,0,1,1,0,1,0,0,0,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,9,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,12,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,0,0,0
2002,RS6C,C,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,17,0,7,0,2,0,1,5,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,7,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,45,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,2,0,1,2,0,1,0,0,0,0,0,0
2002,RS7C,C,0,14,0,0,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,34,1,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,4,0,0,0,0,0,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,0,0,0,0,1,0,1,0,0,0,0,0,0
2002,RS8C,C,0,2,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,2,10,0,30,0,1,1,0,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,0,3,11,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,RS1LE,LE,0,15,0,0,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,5,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,3,0,9,0,0,0,0,0,0
2002,RS2LE,LE,0,15,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,36,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,2,0,4,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0
2002,RS3LE,LE,1,13,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,1,0,3,4,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,69,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,2,0,0,4,0,0,0,0,0,0
